Entity;Life expectancy at birth (historical)
Brazil;73.2
Brazil;73.3
Brazil;73.6
Brazil;73.9
Brazil;74.3
Brazil;74.3
Brazil;74.4
Brazil;74.8
Brazil;75.1
Brunei;74.3
Brunei;74.4
Brunei;74.6
Brunei;74.6
Brunei;74.7
Brunei;74.8
Brunei;74.8
Brunei;74.8
Brunei;74.8
Brunei;74.8
Brunei;74.9
Brunei;74.8
Brunei;74.8
Brunei;74.8
Brunei;74.7
Brunei;74.7
Brunei;74.7
Brunei;74.7
Bulgaria;71.9
Bulgaria;72.2
Bulgaria;72.4
Bulgaria;72.6
Bulgaria;72.6
Bulgaria;72.7
Bulgaria;73.0
Bulgaria;73.4
Bulgaria;73.7
Bulgaria;73.8
Bulgaria;74.2
Bulgaria;74.4
Bulgaria;74.8
Bulgaria;74.5
Bulgaria;74.6
Bulgaria;74.8
Bulgaria;74.8
Bulgaria;74.9
Burkina Faso;51.1
Burkina Faso;51.3
Burkina Faso;51.8
Burkina Faso;52.4
Burkina Faso;53.1
Burkina Faso;53.7
Burkina Faso;54.4
Burkina Faso;55.3
Burkina Faso;56.0
Burkina Faso;56.5
Burkina Faso;57.1
Burkina Faso;57.6
Burkina Faso;57.8
Burkina Faso;58.4
Burkina Faso;58.8
Burkina Faso;59.3
Burkina Faso;59.5
Burkina Faso;60.0
Cambodia;60.0
Cambodia;61.2
Cambodia;62.5
Cambodia;63.6
Cambodia;64.3
Cambodia;65.1
Cambodia;65.7
Cambodia;66.5
Cambodia;67.4
Cambodia;67.7
Cambodia;68.4
Cambodia;68.9
Cambodia;69.3
Cambodia;69.7
Cambodia;69.9
Cambodia;70.2
Cambodia;70.5
Cambodia;70.6
Cameroon;53.1
Cameroon;53.4
Cameroon;53.9
Cameroon;54.2
Cameroon;54.4
Cameroon;54.9
Cameroon;55.2
Cameroon;55.7
Cameroon;56.1
Cameroon;56.6
Cameroon;57.1
Cameroon;57.8
Cameroon;58.5
Cameroon;58.9
Cameroon;59.7
Cameroon;60.2
Cameroon;60.8
Cameroon;61.2
Canada;79.5
Canada;79.6
Canada;79.7
Canada;80.0
Canada;80.1
Canada;80.5
Canada;80.5
Canada;80.7
Canada;81.1
Canada;81.3
Canada;81.5
Canada;81.7
Canada;81.8
Canada;81.9
Canada;81.9
Canada;82.0
Canada;82.0
Canada;82.1
Central African Republic;45.4
Central African Republic;45.4
Central African Republic;45.8
Central African Republic;46.0
Central African Republic;46.4
Central African Republic;46.9
Central African Republic;47.4
Central African Republic;48.0
Central African Republic;48.6
Central African Republic;49.3
Central African Republic;49.9
Central African Republic;50.7
Central African Republic;50.9
Central African Republic;50.6
Central African Republic;52.8
Central African Republic;53.5
Central African Republic;53.7
Central African Republic;54.4
Chad;47.8
Chad;47.9
Chad;48.2
Chad;48.2
Chad;48.3
Chad;48.3
Chad;48.8
Chad;49.0
Chad;49.2
Chad;49.6
Chad;50.0
Chad;50.5
Chad;50.8
Chad;51.2
Chad;51.6
Chad;52.1
Chad;52.3
Chad;52.8
Chile;76.8
Chile;77.4
Chile;77.4
Chile;77.6
Chile;78.0
Chile;78.3
Chile;77.8
Chile;78.5
Chile;78.7
Chile;78.5
Chile;79.1
Chile;79.0
Chile;79.3
Chile;79.5
Chile;79.7
Chile;80.1
Chile;80.4
Chile;80.1
China;72.6
China;73.0
China;73.4
China;73.7
China;74.1
China;74.5
China;74.8
China;74.9
China;75.3
China;75.6
China;75.9
China;76.2
China;76.5
China;76.7
China;77.0
China;77.2
China;77.2
China;77.7
Colombia;71.5
Colombia;71.9
Colombia;72.4
Colombia;72.7
Colombia;73.1
Colombia;73.5
Colombia;73.8
Colombia;74.3
Colombia;74.7
Colombia;75.0
Colombia;75.3
Colombia;75.6
Colombia;75.8
Colombia;76.0
Colombia;76.3
Colombia;76.5
Colombia;76.6
Colombia;76.7
Congo;54.4
Congo;55.1
Congo;55.9
Congo;57.0
Congo;58.1
Congo;58.9
Congo;59.6
Congo;60.4
Congo;61.1
Congo;61.7
Congo;62.0
Congo;62.3
Congo;62.7
Congo;63.0
Congo;63.2
Congo;63.6
Congo;63.8
Congo;64.1
Costa Rica;77.5
Costa Rica;78.0
Costa Rica;78.1
Costa Rica;78.3
Costa Rica;78.5
Costa Rica;78.5
Costa Rica;78.5
Costa Rica;78.4
Costa Rica;78.7
Costa Rica;78.7
Costa Rica;79.3
Costa Rica;79.3
Costa Rica;79.4
Costa Rica;78.8
Costa Rica;79.1
Costa Rica;79.5
Costa Rica;79.4
Costa Rica;79.5
Cote d'Ivoire;50.8
Cote d'Ivoire;50.9
Cote d'Ivoire;51.0
Cote d'Ivoire;51.4
Cote d'Ivoire;51.8
Cote d'Ivoire;52.4
Cote d'Ivoire;53.0
Cote d'Ivoire;53.7
Cote d'Ivoire;54.4
Cote d'Ivoire;55.0
Cote d'Ivoire;55.5
