Entity;Aquaculture production (metric tons)
Bosnia and Herzegovina;3638.800048828125
Botswana;20.0
Botswana;15.0
Botswana;15.0
Botswana;15.0
Brazil;205568.0
Brazil;247678.0
Brazil;273268.0
Brazil;269699.0
Brazil;257784.0
Brazil;271697.0
Brazil;289048.0
Brazil;331553.0
Brazil;365127.0
Brazil;411777.0
Brazil;436084.0
Brazil;480880.0
Brazil;477752.0
Brazil;564230.0
Brazil;575230.0
Brazil;590730.0
Brazil;595730.0
Brazil;605730.0
Brunei;99.0
Brunei;157.0
Brunei;160.0
Brunei;709.0
Brunei;454.0
Brunei;475.0
Brunei;622.0
Brunei;473.0
Brunei;433.0
Brunei;499.9800109863281
Brunei;530.0
Brunei;550.0
Brunei;560.8499755859375
Brunei;711.0700073242188
Brunei;983.1400146484376
Brunei;947.6300048828124
Brunei;1632.0
Brunei;1116.487060546875
Bulgaria;2938.0
Bulgaria;2308.0
Bulgaria;4465.0
Bulgaria;2489.0
Bulgaria;3145.0
Bulgaria;3257.0
Bulgaria;4032.0
Bulgaria;5157.0
Bulgaria;6722.5380859375
Bulgaria;7920.6171875
Bulgaria;5527.1748046875
Bulgaria;5975.06005859375
Bulgaria;12151.650390625
Bulgaria;11171.794921875
Bulgaria;13536.548828125
Bulgaria;15762.1591796875
Bulgaria;15752.154296875
Bulgaria;16341.82421875
Burkina Faso;5.0
Burkina Faso;5.0
Burkina Faso;5.0
Burkina Faso;5.0
Burkina Faso;65.0
Burkina Faso;250.0
Burkina Faso;348.0
Burkina Faso;475.0
Burkina Faso;275.0
Burkina Faso;280.0
Burkina Faso;300.0
Burkina Faso;302.0
Burkina Faso;320.0
Burkina Faso;301.0
Burkina Faso;280.0
Burkina Faso;440.0
Burkina Faso;512.0
Burkina Faso;548.0
Cambodia;17500.0
Cambodia;18250.0
Cambodia;26300.0
Cambodia;37515.0
Cambodia;44000.0
Cambodia;41010.0
Cambodia;35260.0
Cambodia;40000.0
Cambodia;50000.0
Cambodia;60000.0
Cambodia;72000.0
Cambodia;74000.0
Cambodia;90000.0
Cambodia;120055.0
Cambodia;145000.0
Cambodia;172500.0
Cambodia;207500.0
Cambodia;254050.0
Cameroon;150.0
Cameroon;330.0
Cameroon;385.0
Cameroon;395.0
Cameroon;402.0
Cameroon;435.0
Cameroon;546.0
